Alamosa County	civil	Alamosa	Colorado	37.60	-104.20	
Alamosa Creek	stream	Sierra	New Mexico	33.3275	-106.6317	
Alamosa National Wildlife Refuge	park	Alamosa	Colorado	37.4083	-104.2444	
Alamota	ppl	Lane	Kansas	38.4611	-99.6903	2615
Alanreed	ppl	Gray	Texas	35.2125	-99.2661	3043
Alanson	ppl	Emmet	Michigan	45.4442	-83.2133	615
Alao	ppl	Eastern	American Samoa	-13.7325	-169.4364	
Alapaha	ppl	Berrien	Georgia	31.385	-82.7769	293
Alapaha River	stream	Hamilton	Florida	30.4364	-82.9033	
Alarka	ppl	Swain	North Carolina	35.3531	-82.5544	1960
Alaska Maritime National Wildlife Refuge	park	Aleutians West	Alaska	52.00	-174.00	
Alaska Peninsula	cape	Lake and Peninsula	Alaska	57.00	-158.00	
Alaska Peninsula National Wildlife Refuge	park	Lake and Peninsula	Alaska	56.00	-159.00	
Alaska Range	range	Matanuska-Susitna	Alaska	63.00	-150.00	
Alaska, Gulf of	bay	Valdez-Cordova	Alaska	58.00	-145.00	
Alaska, State of	civil	null	Alaska	64.00	-150.00	
Alatna River	stream	Yukon-Koyukuk	Alaska	66.5667	-151.375	
Alaufau	ppl	Manu'a	American Samoa	-13.8283	-168.3211	
Alava, Cape	cape	Clallam	Washington	48.1661	-123.2689	
Alba	ppl	Antrim	Michigan	44.9747	-83.0314	1179
Alba	ppl	Jasper	Missouri	37.2383	-93.5828	989
Alba	ppl	Wood	Texas	32.7928	-94.3658	451
Albany	ppl	Alameda	California	37.8869	-121.7033	42
Albany	ppl	Athens	Ohio	39.2275	-81.7975	755
Albany	ppl	Bryan	Oklahoma	33.8814	-95.8375	585
Albany	ppl	Livingston	Louisiana	30.5042	-89.4178	41
Albany	ppl	Stearns	Minnesota	45.63	-93.4303	1201
Albany	ppl	Green	Wisconsin	42.7078	-88.5631	815
Albany	ppl	Albany	Wyoming	41.1842	-105.8686	8379
Albany (county seat)	ppl	Gentry	Missouri	40.2486	-93.6692	915
Albany (county seat)	ppl	Albany	New York	42.6525	-72.2433	30
Albany (county seat)	ppl	Linn	Oregon	44.6367	-122.8953	212
Albany (county seat)	ppl	Shackelford	Texas	32.7233	-98.7031	1412
Albany (county seat)	ppl	Dougherty	Georgia	31.5783	-83.8442	208
Albany (county seat)	ppl	Clinton	Kentucky	36.6908	-84.8653	962
Albany County	civil	Albany	New York	42.60	-72.0333	
Albany County	civil	Albany	Wyoming	41.6667	-104.30	
Albemarle (county seat)	ppl	Stanly	North Carolina	35.35	-79.7997	505
Albemarle County	civil	Albemarle	Virginia	38.0333	-77.45	
Albemarle Sound	bay	Tyrrell	North Carolina	36.05	-76.00	
Alberene	ppl	Albemarle	Virginia	37.8864	-77.3833	520
Alberhill	ppl	Riverside	California	33.7272	-116.6011	1274
Albert	ppl	Barton	Kansas	38.4528	-98.9889	1915
Albert	ppl	Caddo	Oklahoma	35.2328	-97.5889	1519
Albert	ppl	Gillespie	Texas	30.1936	-97.3986	1477
Albert City	ppl	Buena Vista	Iowa	42.7819	-93.0517	1325
Albert Lea (county seat)	ppl	Freeborn	Minnesota	43.6481	-92.6319	1225
Alberta	ppl	Brunswick	Virginia	36.8656	-76.1133	367
Alberta	ppl	Wilcox	Alabama	32.2319	-86.59	205
Albertson	ppl	Nassau	New York	40.7733	-72.3564	140
Albertville	ppl	Marshall	Alabama	34.2675	-85.7911	1063
Albertville	ppl	Wright	Minnesota	45.2378	-92.3458	981
Albertville	ppl	Chippewa	Wisconsin	44.96	-90.3997	935
Albia (county seat)	ppl	Monroe	Iowa	41.0267	-91.1944	959
Albin	ppl	Tallahatchie	Mississippi	33.9133	-89.6703	419
Albin	ppl	Laramie	Wyoming	41.4178	-103.9022	5340
Albion	ppl	Mendocino	California	39.2236	-122.2325	178
Albion	ppl	Camden	New Jersey	39.7786	-73.0447	143
Albion	ppl	Pushmataha	Oklahoma	34.6628	-94.9003	645
Albion	ppl	Red River	Texas	33.8589	-94.9694	382
Albion	ppl	Marshall	Iowa	42.1125	-91.0117	929
Albion	ppl	Kennebec	Maine	44.5322	-68.5569	230
Albion	ppl	Calhoun	Michigan	42.2431	-83.2469	959
Albion	ppl	Carter	Montana	45.1872	-103.7236	3372
Albion	ppl	Cassia	Idaho	42.4128	-112.4228	4717
Albion	ppl	Whitman	Washington	46.7911	-116.7506	2300
Albion (county seat)	ppl	Boone	Nebraska	41.6908	-97.9967	1748
Albion (county seat)	ppl	Orleans	New York	43.2464	-77.8061	519
Albion (county seat)	ppl	Edwards	Illinois	38.3775	-87.9439	447
Albion (county seat)	ppl	Noble	Indiana	41.3956	-84.5756	963
Albion Mountains	range	Cassia	Idaho	42.23	-112.2828	
Alborn	ppl	Saint Louis	Minnesota	46.9731	-91.4242	1304
Albright	ppl	Preston	West Virginia	39.495	-78.355	1291
Albuquerque (county seat)	ppl	Bernalillo	New Mexico	35.0833	-105.35	4943
Alburg	ppl	Grand Isle	Vermont	44.975	-72.6994	124
Alburnett	ppl	Linn	Iowa	42.1483	-90.3817	891
Alcalde	ppl	Rio Arriba	New Mexico	36.09	-105.9433	5697
Alcatraz Island	island	San Francisco	California	37.8267	-121.5778	
Alcester	ppl	Union	South Dakota	43.0233	-95.37	1346
